Pierpaolo Cortellini:Accademia Toscana di Ricerca Odontostomatologia (ATRO), Florence, Italy;:European Research Group on Periodontology (ERGOPERIO), Berne, Switzerland; 
Maurizio Tonetti:European Research Group on Periodontology (ERGOPERIO), Berne, Switzerland; 
Carlo Baldi:Department of Periodontology, Dental School, University of Florence, Florence, Italy;
Luca Francetti:Department of Periodontology, IRCCS Galeazzi Institute, University of Milan, Milan, Italy;
Giulio Rasperini:Department of Periodontology, Dental Clinic, University of Milan, Milan, Italy
Roberto Rotundo:Department of Periodontology, Dental School, University of Florence, Florence, Italy;
Michele Nieri:Department of Periodontology, Dental School, University of Florence, Florence, Italy;
Debora Franceschi:Department of Periodontology, Dental School, University of Florence, Florence, Italy;
Antonella Labriola:Department of Periodontology, Dental School, University of Florence, Florence, Italy;
Giovanpaolo Pini Prato:Department of Periodontology, Dental School, University of Florence, Florence, Italy;

